model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,31,normalized_slope_60m,75.72774505615234,6739.76904296875,89.0,24383.591796875,2170139.75,0.06772469865623204,4
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,32,range_position_30m,20.815933227539062,395.5027160644531,19.0,4065.2421875,77239.6015625,0.003974216637457347,34
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,33,range_position_60m,21.185815811157227,296.6014099121094,14.0,10141.560546875,141981.84375,0.002980404963322465,37
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,34,range_position_120m,50.42688751220703,2622.1982421875,52.0,12717.3291015625,661301.125,0.02634920939231852,7
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,35,support_distance_60m,22.26896858215332,913.0277099609375,41.0,9381.9423828125,384659.625,0.00917457647697926,22
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,36,resistance_distance_60m,22.402957916259766,448.05914306640625,20.0,6031.38037109375,120627.609375,0.0045023309034601024,30
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,37,vwap_distance_60m,31.816652297973633,827.2329711914062,26.0,7734.5634765625,201098.65625,0.008312466396884103,23
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,38,signed_body_ratio,25.281455993652344,25.281455993652344,1.0,1325.1170654296875,1325.1170654296875,0.00025404119604767813,59
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,39,absolute_body_ratio,9.344611167907715,9.344611167907715,1.0,458.8490295410156,458.8490295410156,9.389950477107839e-05,61
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,40,upper_wick_ratio,20.433393478393555,224.76731872558594,11.0,18025.634765625,198281.984375,0.002258578718560126,42
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,41,lower_wick_ratio,15.935012817382812,47.80503845214844,3.0,18145.345703125,54436.0390625,0.00048036984691618456,54
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,42,close_location,24.35771942138672,462.7966613769531,19.0,20683.193359375,392980.6875,0.004650421139217328,29
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,43,signed_body_mean_5m,11.977846145629883,23.955692291259766,2.0,1133.1680908203125,2266.336181640625,0.00024071923402472456,60
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,44,upper_wick_mean_15m,29.206825256347656,1840.030029296875,63.0,18574.5234375,1170195.0,0.018489577084626292,12
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,45,lower_wick_mean_15m,19.229963302612305,288.449462890625,15.0,7467.68115234375,112015.21875,0.00289848996713019,38
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,46,is_zero_volume_1m,0.0,0.0,0.0,0.0,0.0,0.0,62
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,47,log_quote_volume_zscore_60m,8.809470176696777,52.8568229675293,6.0,1107.3643798828125,6644.1865234375,0.000531132800631537,53
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,48,volume_ratio_5_60,19.99786376953125,299.96795654296875,15.0,6386.8603515625,95802.90625,0.003014233771792536,36
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,49,volume_ratio_15_60,24.53439712524414,1275.7886962890625,52.0,5439.59423828125,282858.90625,0.012819787214421393,15
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,50,taker_buy_quote_ratio_1m,0.0,0.0,0.0,0.0,0.0,0.0,63
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,51,taker_buy_quote_ratio_5m,17.77210807800293,71.08843231201172,4.0,10799.3984375,43197.59375,0.0007143334772424583,51
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,52,taker_buy_quote_ratio_15m,17.041410446166992,306.7453918457031,18.0,6337.50439453125,114075.078125,0.0030823369605833513,35
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,53,taker_buy_quote_ratio_60m,21.03352165222168,1346.1453857421875,64.0,4457.8583984375,285302.9375,0.013526767759494218,14
